Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.11      0.03     0.03                             stbi__paeth
  5.41      0.05     0.02   165268     0.00     0.00  entityx::BasePool::get(unsigned long)
  5.41      0.07     0.02   132534     0.00     0.00  stella::graphics::Texture::GetWidth() const
  5.41      0.09     0.02   106020     0.00     0.00  stella::graphics::SpriteSheet::GetUV(unsigned int)
  5.41      0.11     0.02     4092     0.00     0.01  CollisionSystem::collided(CollisionSystem::Candidate&, CollisionSystem::Candidate&)
  5.41      0.13     0.02                             stbi__create_png_image_raw
  2.70      0.14     0.01   596348     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::size() const
  2.70      0.15     0.01   165239     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::operator[](unsigned long) const
  2.70      0.16     0.01   119304     0.00     0.00  std::bitset<64ul> std::operator&<64ul>(std::bitset<64ul> const&, std::bitset<64ul> const&)
  2.70      0.17     0.01   106020     0.00     0.00  stella::graphics::Renderer::Submit(stella::graphics::Sprite const&)
  2.70      0.18     0.01   106020     0.00     0.00  stella::graphics::Renderable::GetPos() const
  2.70      0.19     0.01   106020     0.00     0.00  stella::graphics::Sprite::GetFrameCoords() const
  2.70      0.20     0.01    92885     0.00     0.00  bool entityx::EntityManager::has_component<SpatialComponent>(entityx::Entity::Id) const
  2.70      0.21     0.01    51367     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator!=(entityx::EntityManager::BaseView<false>::Iterator const&) const
  2.70      0.22     0.01    47469     0.00     0.00  entityx::ComponentHandle<SpatialComponent, entityx::EntityManager> entityx::EntityManager::component<SpatialComponent, void>(entityx::Entity::Id)
  2.70      0.23     0.01    32559     0.00     0.00  entityx::ComponentHandle<BodyComponent, entityx::EntityManager>::valid() const
  2.70      0.24     0.01    27588     0.00     0.00  entityx::ComponentHandle<BodyComponent, entityx::EntityManager>::operator->()
  2.70      0.25     0.01    13256     0.00     0.00  stella::graphics::Renderer::Draw()
  2.70      0.26     0.01    13256     0.00     0.01  RenderSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, TextureComponent&)#1}::operator()(entityx::Entity, SpatialComponent&, TextureComponent&) const
  2.70      0.27     0.01     3314     0.00     0.00  std::_Function_handler<void (entityx::Entity, SpatialComponent&, MovementComponent&), MovementSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, MovementComponent&)#1}>::_M_invoke(std::_Any_data const&, entityx::Entity&&, SpatialComponent&, MovementComponent&)
  2.70      0.28     0.01     3314     0.00     0.00  AnimationSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, AnimationComponent&, TextureComponent&)#1}::operator()(entityx::Entity, AnimationComponent&, TextureComponent&) const
  2.70      0.29     0.01      689     0.01     0.01  MovementComponent::accelX(float)
  2.70      0.30     0.01        3     3.33     3.33  std::shared_ptr<ParallaxSystem>::~shared_ptr()
  2.70      0.31     0.01        2     5.00     5.00  void entityx::EventManager::emit<entityx::ComponentAddedEvent<BodyComponent>, entityx::Entity, entityx::ComponentHandle<BodyComponent, entityx::EntityManager>&>(entityx::Entity&&, entityx::ComponentHandle<BodyComponent, entityx::EntityManager>&)
  2.70      0.32     0.01        2     5.00     5.00  void entityx::EntityManager::remove<BodyComponent>(entityx::Entity::Id)
  2.70      0.33     0.01        2     5.00    10.00  void entityx::Entity::remove<BodyComponent>()
  2.70      0.34     0.01        2     5.00     5.00  void entityx::Entity::remove<MovementComponent>()
  2.70      0.35     0.01        1    10.00    10.00  void entityx::EventManager::emit<entityx::ComponentAddedEvent<LightComponent>, entityx::Entity, entityx::ComponentHandle<LightComponent, entityx::EntityManager>&>(entityx::Entity&&, entityx::ComponentHandle<LightComponent, entityx::EntityManager>&)
  2.70      0.36     0.01                             stella::graphics::Layer::Remove(stella::graphics::Sprite*)
  2.70      0.37     0.01                             entityx::ComponentHandle<BodyComponent, entityx::EntityManager>::ComponentHandle()
  0.00      0.37     0.00  1922848     0.00     0.00  entityx::Entity::Id::index() const
  0.00      0.37     0.00   820320     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  0.00      0.37     0.00   743683     0.00     0.00  entityx::Entity::Id::version() const
  0.00      0.37     0.00   583060     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::operator[](unsigned long)
  0.00      0.37     0.00   530116     0.00     0.00  glm::vec<2, float, (glm::precision)0>::vec(float, float)
  0.00      0.37     0.00   435853     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.37     0.00   435389     0.00     0.00  entityx::EntityManager::valid(entityx::Entity::Id) const
  0.00      0.37     0.00   413311     0.00     0.00  std::_Base_bitset<1ul>::_S_whichbit(unsigned long)
  0.00      0.37     0.00   348114     0.00     0.00  std::vector<std::bitset<64ul>, std::allocator<std::bitset<64ul> > >::size() const
  0.00      0.37     0.00   318061     0.00     0.00  glm::vec<3, float, (glm::precision)0>::vec(float, float, float)
  0.00      0.37     0.00   308429     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  0.00      0.37     0.00   308294     0.00     0.00  entityx::EntityManager::assert_valid(entityx::Entity::Id) const
  0.00      0.37     0.00   270190     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::size() const
  0.00      0.37     0.00   270190     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::operator[](unsigned long)
  0.00      0.37     0.00   244854     0.00     0.00  unsigned long entityx::EntityManager::component_family<SpatialComponent>()
  0.00      0.37     0.00   244854     0.00     0.00  entityx::Component<SpatialComponent>::family()
  0.00      0.37     0.00   238586     0.00     0.00  __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >::base() const
  0.00      0.37     0.00   224279     0.00     0.00  std::vector<std::bitset<64ul>, std::allocator<std::bitset<64ul> > >::operator[](unsigned long)
  0.00      0.37     0.00   212048     0.00     0.00  __gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> >::~new_allocator()
  0.00      0.37     0.00   212048     0.00     0.00  std::allocator<glm::vec<4, float, (glm::precision)0> >::~allocator()
  0.00      0.37     0.00   212048     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_get_Tp_allocator()
  0.00      0.37     0.00   212040     0.00     0.00  __gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> >::new_allocator(__gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.37     0.00   212040     0.00     0.00  __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >::__normal_iterator(glm::vec<4, float, (glm::precision)0> const* const&)
  0.00      0.37     0.00   212040     0.00     0.00  __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >::base() const
