Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.96      0.06     0.06   289806     0.00     0.00  stella::graphics::Renderer::Submit(stella::graphics::Sprite const&)
  8.96      0.12     0.06   289806     0.00     0.00  stella::graphics::SpriteSheet::GetUV(unsigned int)
  5.97      0.16     0.04   289806     0.00     0.00  stella::graphics::Sprite::GetColor() const
  4.48      0.19     0.03   336087     0.00     0.00  entityx::BasePool::get(unsigned long)
  4.48      0.22     0.03   289806     0.00     0.00  stella::graphics::SpriteSheet::SpriteSheet(stella::graphics::SpriteSheet const&)
  4.48      0.25     0.03   289806     0.00     0.00  stella::graphics::Renderable::GetPos() const
  2.99      0.27     0.02   338121     0.00     0.00  stella::graphics::Texture::GetWidth() const
  2.99      0.29     0.02   289806     0.00     0.00  stella::graphics::Sprite::GetFrameCoords() const
  2.99      0.31     0.02   252216     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  2.99      0.33     0.02    24156     0.00     0.01  Render::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, TextureComponent&)#1}::operator()(entityx::Entity, SpatialComponent&, TextureComponent&) const
  2.99      0.35     0.02     2013     0.01     0.20  entityx::EntityManager::TypedView<false, SpatialComponent, TextureComponent>::each(std::function<void (entityx::Entity, SpatialComponent&, TextureComponent&)>)
  2.99      0.37     0.02                             stbi__parse_huffman_block
  1.49      0.38     0.01  1569727     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::size() const
  1.49      0.39     0.01  1545539     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::operator[](unsigned long)
  1.49      0.40     0.01  1449054     0.00     0.00  glm::vec<2, float, (glm::precision)0>::vec(float, float)
  1.49      0.41     0.01   875651     0.00     0.00  entityx::EntityManager::valid(entityx::Entity::Id) const
  1.49      0.42     0.01   610113     0.00     0.00  entityx::EntityManager::assert_valid(entityx::Entity::Id) const
  1.49      0.43     0.01   336042     0.00     0.00  std::bitset<64ul>::operator[](unsigned long) const
